('v', 'n', 'mq'),8
('t', 'f', 'v'),8
('n', 'v', 'an'),8
('n', 'd', 'i'),8
('i', 'a', 'n'),8
('n', 's', 'nr'),8
('n', 'ns', 'a'),8
('f', 'a', 'v'),8
('n', 'r', 'd'),8
('a', 'a', 't'),8
('v', 'ns', 'l'),8
('s', 'f', 'v'),8
('a', 'd', 'a'),8
('n', 'm', 'ns'),8
('m', 't', 'm'),8
('s', 'a', 'n'),8
('d', 'n', 'i'),8
('nrt', 'm', 'n'),8
('n', 'f', 'nrt'),8
('nrt', 'n', 'd'),8
('v', 'nrt', 'm'),8
('nr', 's', 'd'),8
('nrt', 'nrt', 'v'),8
('n', 'o', 'v'),7
('f', 'v', 'l'),7
('a', 'n', 'nrt'),7
('a', 'nrt', 'v'),7
('nr', 'z', 'v'),7
('t', 'v', 'vn'),7
('nr', 'ns', 'n'),7
('v', 'ng', 'd'),7
('m', 'm', 't'),7
('v', 'm', 'nrt'),7
('a', 't', 'n'),7
('n', 'zg', 'v'),7
('n', 'l', 'l'),7
('a', 'n', 'c'),7
('c', 'a', 'n'),7
('m', 'd', 'm'),7
('vn', 'v', 'a'),7
('r', 'a', 'n'),7
('n', 'z', 'd'),7
('z', 'd', 'v'),7
('n', 'nr', 'r'),7
('m', 'r', 'v'),7
('n', 's', 'l'),7
('ns', 'n', 't'),7
('v', 'n', 'o'),7
('m', 'c', 'v'),7
('m', 'a', 'd'),7
('ng', 'n', 'n'),7
('m', 's', 'v'),7
('v', 'a', 'nz'),7
('n', 'l', 'm'),7
('nr', 'v', 't'),7
('n', 'a', 'r'),7
('ng', 'v', 'v'),7
('n', 'f', 'c'),7
('m', 't', 'nr'),7
('q', 'n', 'nr'),7
('n', 'm', 's'),7
('ns', 'm', 'v'),7
('v', 'v', 'q'),7
('v', 'l', 'm'),7
('v', 'c', 'nr'),7
('r', 'm', 'n'),7
('s', 'm', 'v'),7
('n', 'nr', 'c'),7
('s', 'n', 's'),7
('nr', 'i', 'n'),7
('f', 'n', 's'),7
('i', 'a', 'v'),7
('n', 'v', 'ad'),7
('r', 'v', 'm'),7
('p', 'n', 'n'),7
('zg', 'v', 'v'),7
('l', 'n', 'f'),7
('v', 'l', 'ns'),7
('v', 'n', 'ad'),7
('l', 'v', 'nr'),7
('f', 'm', 'd'),7
('m', 'n', 'r'),7
('nr', 'i', 'v'),7
('n', 'nr', 'nrt'),7
('v', 's', 'ns'),7
('v', 'mq', 'n'),7
('m', 'd', 'nr'),7
('nr', 'v', 'i'),7
('nrt', 'v', 'a'),7
('f', 'v', 's'),7
('n', 'j', 'n'),7
('l', 'n', 'm'),7
('m', 'd', 'a'),7
('f', 's', 'v'),7
('ns', 'a', 'v'),7
('ns', 't', 'd'),7
('ns', 'a', 'ns'),7
('n', 'l', 'a'),7
('n', 's', 'a'),7
('n', 'l', 'ns'),7
('d', 'v', 'r'),7
('c', 'm', 'n'),7
('u', 'v', 'v'),7
('a', 'm', 'd'),7
('v', 't', 'c'),7
('f', 'm', 'a'),7
('t', 'c', 'n'),7
('d', 'v', 'i'),7
('l', 'nr', 'd'),7
('v', 'n', 'u'),7
('z', 'n', 'm'),7
('v', 't', 's'),7
('ad', 'n', 'v'),7
('a', 'f', 'v'),7
('m', 'n', 'nrt'),7
('n', 't', 'f'),7
('nrt', 'n', 'nrt'),7
('nrt', 'n', 'a'),7
('nrt', 'nrt', 'n'),7
('f', 'nrt', 'v'),7
('v', 'ad', 'n'),7
('nrt', 'd', 'n'),7
('n', 'd', 'c'),7
