('s', 'a', 'a'),2
('a', 'n', 's'),2
('m', 's', 'n'),2
('t', 'n', 'a'),2
('n', 'ns', 'n'),2
('m', 'l', 'n'),2
('m', 'f', 'd'),2
('nr', 'v', 'f'),2
('a', 'n', 'ns'),2
('m', 'n', 'f'),2
('v', 'm', 'ns'),2
('m', 'm', 'nr'),2
('a', 'n', 'nr'),2
('n', 'm', 'f'),2
('n', 'f', 'a'),2
('ns', 'v', 'ns'),2
('ns', 'n', 'm'),2
('nr', 'd', 'n'),2
('ng', 'f', 'nr'),2
('n', 'a', 'a'),2
('f', 'a', 'n'),2
('n', 'n', 'r'),2
('v', 't', 'ns'),2
('f', 'd', 'n'),2
('s', 't', 'n'),2
('z', 'n', 'a'),2
('d', 'd', 'a'),2
('t', 'a', 'nr'),2
('v', 'n', 'r'),2
('n', 'z', 'nr'),2
('v', 't', 'a'),2
('d', 'vn', 't'),2
('n', 'v', 'b'),2
('m', 't', 'd'),2
('t', 'd', 'm'),2
('n', 'ns', 't'),2
('s', 'ns', 'n'),2
('nz', 'n', 'n'),2
('v', 'f', 'l'),2
('f', 'l', 'v'),2
('nr', 'n', 'l'),2
('v', 'd', 'l'),2
('t', 'a', 't'),2
('n', 'u', 'n'),2
('v', 'q', 'd'),2
('q', 'd', 'n'),2
('n', 'n', 'l'),2
('f', 'n', 'a'),2
('a', 'a', 'nr'),2
('ns', 'v', 's'),2
('ns', 'nr', 'v'),2
('nr', 'c', 'v'),2
('m', 'ns', 'v'),2
('v', 'nr', 'ns'),2
('f', 'v', 'ns'),2
('f', 'nr', 'ns'),2
('nr', 'ns', 'v'),2
('m', 'd', 'nr'),2
('f', 's', 'n'),2
('ns', 't', 'v'),2
('m', 'm', 'n'),2
('f', 'nr', 'v'),2
('f', 'm', 'n'),2
('r', 'n', 'nr'),2
('v', 'ns', 'nr'),2
('nr', 's', 'n'),2
('v', 's', 'd'),2
('n', 'n', 'p'),2
('n', 'v', 'z'),2
('f', 'n', 'd'),1
('n', 'q', 'f'),1
('q', 'f', 'n'),1
('a', 'd', 'nr'),1
('m', 'v', 'nr'),1
('v', 'n', 'o'),1
('n', 'o', 'o'),1
('o', 'o', 'n'),1
('o', 'n', 'v'),1
('n', 'm', 'a'),1
('m', 'm', 'l'),1
('m', 'l', 'nr'),1
('l', 'nr', 't'),1
('n', 'v', 'q'),1
('v', 'q', 'f'),1
('q', 'f', 'v'),1
('n', 'vn', 'v'),1
('vn', 'v', 'nr'),1
('n', 'ad', 'n'),1
('ad', 'n', 'v'),1
('m', 'v', 't'),1
('n', 'a', 's'),1
('a', 's', 'nr'),1
('n', 'f', 'i'),1
('f', 'i', 'd'),1
('a', 'v', 't'),1
('t', 't', 'd'),1
('v', 'v', 'vn'),1
('v', 'vn', 'tg'),1
('vn', 'tg', 'v'),1
('n', 'q', 'nr'),1
('q', 'nr', 'n'),1
('d', 'm', 'b'),1
('b', 'n', 'nr'),1
('n', 'a', 'm'),1
('a', 'm', 'd'),1
('m', 'd', 'm'),1
('c', 'm', 'a'),1
('m', 'a', 'a'),1
('a', 'a', 'l'),1
('a', 'l', 'a'),1
('l', 'a', 'a'),1
('z', 'v', 'r'),1
('r', 'f', 'v'),1
('c', 'd', 'l'),1
('d', 'l', 'nr'),1
('n', 'ad', 'a'),1
('ad', 'a', 'v'),1
('a', 'a', 's'),1
('s', 'v', 'c'),1
('a', 'c', 'ad'),1
('c', 'ad', 'm'),1
('ad', 'm', 'n'),1
('m', 'n', 's'),1
('s', 'a', 'n'),1
('n', 'c', 'nr'),1
('ns', 't', 'd'),1
('r', 'nr', 'v'),1
('f', 'v', 'c'),1
('n', 's', 'nr'),1
('f', 'n', 'nr'),1
('n', 'nr', 'c'),1
('nr', 'c', 'n'),1
('m', 'v', 'c'),1
('i', 'n', 'zg'),1
('n', 'zg', 'zg'),1
('zg', 'zg', 'n'),1
('zg', 'n', 'zg'),1
('a', 'r', 't'),1
('r', 't', 'f'),1
('a', 'a', 'r'),1
('a', 'r', 'd'),1
('r', 'd', 'm'),1
('nr', 'm', 'b'),1
('n', 'd', 'r'),1
('m', 'a', 'vn'),1
('a', 'vn', 'n'),1
('vn', 'n', 's'),1
('m', 'c', 'v'),1
('m', 'v', 'zg'),1
('v', 'zg', 'n'),1
('v', 'f', 'i'),1
('f', 'i', 'v'),1
('i', 'v', 'r'),1
('v', 'ns', 'a'),1
('ns', 'a', 'v'),1
('i', 'n', 'nr'),1
('t', 'n', 'n'),1
('l', 'a', 'nr'),1
('n', 'ns', 'b'),1
('ns', 'b', 'c'),1
('b', 'c', 'd'),1
('d', 's', 'a'),1
('v', 'r', 'l'),1
('r', 'l', 'd'),1
('l', 'd', 'n'),1
('n', 't', 'vn'),1
('t', 'vn', 'v'),1
('vn', 'v', 'n'),1
('r', 'n', 'a'),1
('a', 'c', 'd'),1
('c', 'd', 'a'),1
('a', 'd', 'mq'),1
('d', 'mq', 'ns'),1
('mq', 'ns', 'v'),1
('ns', 'v', 'nr'),1
('nr', 'd', 'r'),1
('ng', 'f', 'n'),1
('f', 'n', 'q'),1
('l', 'n', 'd'),1
('m', 'd', 'v'),1
('n', 'ns', 'd'),1
('m', 'v', 'ns'),1
('ns', 'n', 't'),1
('v', 'c', 'yg'),1
('c', 'yg', 'm'),1
('yg', 'm', 'v'),1
('v', 'l', 'l'),1
('l', 'l', 'ns'),1
('l', 'ns', 'm'),1
('n', 'ns', 'f'),1
('ns', 'f', 'r'),1
('f', 'r', 'n'),1
('n', 'f', 't'),1
('f', 't', 'v'),1
('n', 'n', 'q'),1
('n', 'q', 'ns'),1
('q', 'ns', 'n'),1
('l', 'a', 'n'),1
('n', 't', 'f'),1
('t', 'v', 'q'),1
('q', 'v', 'a'),1
('v', 'l', 'm'),1
('l', 'm', 'v'),1
('r', 'n', 'd'),1
('v', 'n', 'vn'),1
('n', 'vn', 'vg'),1
('vn', 'vg', 'n'),1
('v', 'r', 's'),1
('r', 's', 'v'),1
('m', 'a', 'nr'),1
('d', 's', 'd'),1
('i', 'n', 's'),1
('v', 'a', 'q'),1
('a', 'q', 'l'),1
('q', 'l', 'n'),1
('m', 'd', 'd'),1
('m', 'm', 'b'),1
('m', 'b', 'a'),1
('v', 'n', 'mq'),1
('n', 'mq', 'n'),1
('mq', 'n', 'd'),1
('n', 'f', 'df'),1
('f', 'df', 'vn'),1
('df', 'vn', 's'),1
('vn', 's', 'v'),1
('f', 'v', 'z'),1
('z', 'n', 'nr'),1
('n', 'z', 'v'),1
('n', 's', 'z'),1
('s', 'z', 'n'),1
('z', 'n', 'v'),1
('n', 'n', 'vg'),1
('n', 'vg', 'n'),1
('vg', 'n', 's'),1
('s', 'n', 'l'),1
('n', 'f', 'z'),1
('f', 'z', 'nr'),1
('n', 'z', 'z'),1
('z', 'z', 'v'),1
('m', 'n', 'z'),1
('n', 'z', 'd'),1
('z', 'd', 'm'),1
('v', 'm', 'r'),1
('m', 'r', 'a'),1
('r', 'a', 'd'),1
('n', 'v', 'ad'),1
('v', 'ad', 'v'),1
('ad', 'v', 'i'),1
('i', 'n', 'n'),1
('v', 'a', 's'),1
('a', 's', 'm'),1
('s', 'm', 'v'),1
('n', 'l', 'q'),1
('l', 'q', 'tg'),1
('q', 'tg', 'n'),1
('tg', 'n', 'v'),1
('v', 'nr', 'i'),1
('nr', 'i', 'v'),1
('i', 'v', 's'),1
('v', 'nr', 'f'),1
('nr', 'f', 'd'),1
('v', 's', 'm'),1
('s', 'm', 'n'),1
('c', 'n', 'nr'),1
('z', 'n', 'l'),1
('v', 'q', 'a'),1
('q', 'a', 'r'),1
('v', 't', 'm'),1
('v', 'nr', 'q'),1
('v', 'm', 'f'),1
('f', 'n', 'b'),1
('n', 'b', 'n'),1
('n', 'v', 'ng'),1
('v', 'ng', 'v'),1
('ng', 'v', 's'),1
('s', 't', 'v'),1
('ns', 'n', 'nz'),1
('n', 'nz', 'n'),1
('n', 'm', 'zg'),1
('m', 'zg', 'm'),1
('zg', 'm', 'v'),1
('d', 'm', 'zg'),1
('m', 'zg', 'd'),1
('zg', 'd', 'l'),1
('d', 'l', 'v'),1
('l', 'v', 't'),1
('t', 'v', 't'),1
('n', 'n', 'ag'),1
('n', 'ag', 'n'),1
('ag', 'n', 'n'),1
('n', 'a', 'zg'),1
('a', 'zg', 'n'),1
('n', 'a', 'l'),1
('a', 'l', 'n'),1
('v', 'l', 'a'),1
('n', 's', 'r'),1
('s', 'r', 'n'),1
('s', 'nr', 'd'),1
('s', 'r', 'nr'),1
('n', 'ng', 'ns'),1
('ng', 'ns', 'n'),1
('ns', 'n', 'r'),1
('n', 'r', 'd'),1
('v', 'nr', 'r'),1
('nr', 'r', 'a'),1
('r', 'a', 'n'),1
('d', 'm', 'ad'),1
('m', 'ad', 't'),1
('ad', 't', 'v'),1
('v', 'd', 'zg'),1
('d', 'zg', 'n'),1
('v', 'nz', 'm'),1
('nz', 'm', 'n'),1
('d', 'd', 't'),1
('a', 'v', 'l'),1
('n', 'd', 'i'),1
('d', 'i', 'v'),1
('i', 'v', 'd'),1
('v', 't', 'r'),1
('t', 'r', 'n'),1
('n', 'u', 'a'),1
('u', 'a', 'nr'),1
('a', 'nr', 'd'),1
('v', 'mq', 'v'),1
('mq', 'v', 'a'),1
('v', 'a', 'ns'),1
('a', 'ns', 'nr'),1
('n', 'ns', 'l'),1
('ns', 'l', 'v'),1
('n', 'nr', 'r'),1
('nr', 'r', 'v'),1
('nr', 'nr', 'vn'),1
('nr', 'vn', 't'),1
('l', 'v', 'a'),1
('a', 'd', 'f'),1
('d', 'f', 'v'),1
('v', 'n', 'zg'),1
('vn', 'n', 'd'),1
('d', 'n', 'l'),1
('c', 'v', 'r'),1
('r', 'v', 'a'),1
('nr', 'n', 'z'),1
('t', 'v', 'vn'),1
('vn', 'n', 'vn'),1
('n', 'vn', 'l'),1
('vn', 'l', 'nr'),1
('m', 'm', 'q'),1
('m', 'q', 'nrt'),1
('q', 'nrt', 'nr'),1
('nrt', 'nr', 'ns'),1
('t', 't', 'n'),1
('n', 'a', 'r'),1
('r', 'v', 'd'),1
('ns', 'ns', 'ns'),1
('ns', 'ns', 'a'),1
('ns', 'a', 'n'),1
('n', 'd', 'nrt'),1
('d', 'nrt', 'v'),1
('nrt', 'v', 'f'),1
('d', 'n', 'j'),1
('n', 'j', 'n'),1
('j', 'n', 'n'),1
('t', 'v', 'nt'),1
('v', 'nt', 'vg'),1
('nt', 'vg', 'n'),1
('v', 's', 'i'),1
('s', 'i', 'd'),1
('nz', 'n', 'd'),1
('m', 'v', 'd'),1
('d', 'm', 'a'),1
('n', 'm', 'r'),1
('m', 'r', 'v'),1
('r', 'v', 'b'),1
('v', 'b', 'm'),1
('b', 'm', 'n'),1
('n', 'c', 'b'),1
('c', 'b', 'n'),1
('v', 't', 'b'),1
('t', 'b', 'n'),1
('b', 'n', 'a'),1
('nr', 'd', 't'),1
('v', 'r', 'm'),1
('r', 'm', 'n'),1
('d', 's', 'n'),1
('a', 's', 'n'),1
('vn', 'n', 'n'),1
('a', 'a', 'zg'),1
('a', 'zg', 'm'),1
('zg', 'm', 'nr'),1
('d', 'm', 's'),1
('s', 'n', 'ns'),1
('d', 'nr', 'v'),1
('a', 'v', 'f'),1
('v', 'nr', 'df'),1
