('m', 'm', 'd'),8
('v', 'n', 'zg'),8
('r', 'v', 'm'),8
('a', 'nr', 'a'),8
('n', 's', 'f'),8
('nr', 'l', 'n'),8
('v', 'd', 'ns'),8
('a', 'd', 'a'),8
('v', 'v', 'z'),8
('vn', 'v', 'n'),8
('t', 'v', 'm'),8
('v', 's', 's'),8
('d', 't', 'v'),8
('a', 'v', 'f'),8
('z', 'v', 'm'),8
('r', 'n', 'nr'),8
('n', 'f', 'l'),8
('a', 'v', 'r'),8
('v', 't', 'f'),8
('t', 'n', 't'),8
('r', 'a', 'v'),8
('n', 'l', 't'),8
('f', 'f', 'n'),8
('n', 'ns', 'a'),8
('f', 'f', 'v'),8
('n', 'vg', 'n'),8
('n', 'a', 'r'),8
('d', 'n', 't'),8
('a', 'n', 's'),8
('nr', 'l', 'v'),8
('l', 'n', 'd'),8
('v', 'v', 'b'),8
('f', 's', 'n'),8
('t', 't', 'n'),8
('i', 'nr', 'n'),8
('d', 'a', 'nr'),7
('n', 's', 'l'),7
('l', 'v', 'd'),7
('v', 'i', 'd'),7
('nr', 'v', 'f'),7
('v', 'n', 'nz'),7
('a', 'n', 'q'),7
('ns', 'n', 'ns'),7
('n', 'ns', 's'),7
('n', 'nr', 'ns'),7
('t', 's', 'n'),7
('a', 'n', 'i'),7
('v', 'd', 'i'),7
('a', 'l', 'n'),7
('d', 'n', 'l'),7
('s', 'a', 'v'),7
('v', 'a', 'l'),7
('n', 'r', 'm'),7
('v', 't', 'a'),7
('l', 'a', 'n'),7
('v', 'ns', 'd'),7
('i', 'm', 'n'),7
('l', 'nr', 'v'),7
('v', 'ns', 'nr'),7
('v', 'vg', 'n'),7
('t', 'v', 'r'),7
('s', 'f', 'n'),7
('zg', 'n', 'v'),7
('f', 'a', 'v'),7
('n', 'a', 's'),7
('nr', 'nr', 'd'),7
('n', 'vn', 'v'),7
('t', 'n', 'm'),7
('nr', 'n', 't'),7
('ns', 'nr', 'n'),7
('ns', 'a', 'n'),7
('v', 'n', 'vn'),7
('f', 'nr', 'v'),7
('a', 'm', 'm'),7
('a', 'f', 'v'),7
('t', 't', 'v'),7
('f', 'd', 'a'),7
('m', 'l', 'v'),7
('l', 'n', 'a'),7
('d', 'd', 'd'),7
('ns', 'v', 'd'),7
('v', 'ns', 'ns'),7
('ns', 'ns', 'n'),7
('d', 'c', 'n'),7
('ns', 'v', 'a'),7
('v', 'v', 'ng'),7
('s', 'n', 'd'),7
('s', 's', 'v'),7
('nr', 'v', 'ns'),7
('v', 'f', 'f'),7
('v', 'a', 's'),7
('c', 'a', 'v'),7
('vn', 'd', 'v'),7
('m', 'v', 't'),7
('v', 'v', 'nz'),7
('a', 'a', 'nr'),7
('n', 'nr', 'c'),7
('f', 'v', 'q'),7
('nr', 'n', 'c'),7
('n', 'nrt', 'v'),7
('v', 'nr', 't'),7
('c', 'd', 'v'),7
('s', 't', 'v'),7
('m', 'a', 'd'),7
('s', 'd', 'n'),7
('d', 'm', 'm'),7
('d', 'c', 'v'),7
('v', 'q', 'v'),7
('a', 'nrfg', 'n'),7
('v', 'q', 'a'),6
('t', 'a', 'v'),6
('s', 'l', 'v'),6
('ns', 'v', 's'),6
('s', 'v', 'd'),6
('f', 'r', 'v'),6
('d', 'm', 'nr'),6
('ns', 'n', 'nr'),6
('v', 'm', 'ns'),6
('m', 'v', 'ns'),6
('ns', 'm', 's'),6
('f', 'n', 'ns'),6
('s', 'n', 'ns'),6
('n', 't', 'f'),6
('zg', 'v', 'v'),6
('z', 'z', 'n'),6
('m', 'r', 'v'),6
('f', 'm', 'm'),6
('a', 'n', 'vn'),6
('d', 'n', 'ng'),6
('v', 'nr', 'l'),6
('v', 's', 'a'),6
('a', 'i', 'v'),6
('r', 'v', 'd'),6
('l', 't', 'n'),6
('v', 'f', 't'),6
('ng', 'd', 'v'),6
('a', 'a', 'm'),6
('nrfg', 'n', 'v'),6
('n', 'a', 'l'),6
('v', 'zg', 'v'),6
('t', 'nr', 'n'),6
('n', 'mq', 'n'),6
('mq', 'n', 'v'),6
('n', 'd', 'z'),6
('f', 'n', 's'),6
('zg', 'n', 'n'),6
('n', 's', 'a'),6
('r', 'n', 'd'),6
('l', 'n', 'm'),6
('n', 'ng', 's'),6
('n', 'm', 'd'),6
('n', 'o', 'n'),6
('q', 'm', 'v'),6
('a', 'v', 's'),6
('n', 'ns', 'ns'),6
('l', 'v', 'a'),6
('r', 'd', 'n'),6
('a', 's', 'n'),6
('n', 'n', 'ad'),6
('ns', 'v', 't'),6
('n', 's', 'm'),6
('b', 'v', 'n'),6
('d', 'v', 'c'),6
('t', 'n', 'ns'),6
('v', 'ns', 'a'),6
('n', 'c', 'a'),6
('n', 'd', 's'),6
('m', 'n', 'z'),6
('m', 'v', 's'),6
('v', 'z', 'n'),6
('n', 'm', 'l'),6
('l', 'v', 'ns'),6
('v', 'a', 'ns'),6
('r', 'n', 'r'),6
('m', 'z', 'n'),6
('n', 'z', 'm'),6
('nr', 'v', 'r'),6
('v', 's', 'm'),6
('n', 'nr', 'l'),6
('l', 'v', 'nr'),6
('a', 'a', 'a'),6
('nrt', 'v', 'n'),6
('t', 'n', 'nr'),6
('n', 'd', 'c'),6
('nr', 'c', 'v'),6
('n', 'c', 'nr'),6
('n', 'nr', 't'),6
('v', 'nrt', 'v'),6
('f', 'v', 'l'),6
('n', 't', 'a'),6
('nr', 'd', 'a'),6
('v', 'd', 'c'),6
('a', 'nrfg', 'nr'),6
('r', 'nr', 'n'),6
('q', 'a', 'n'),5
('v', 'd', 's'),5
('n', 'n', 'nz'),5
('nz', 'f', 'v'),5
('v', 'l', 'm'),5
('m', 'n', 'i'),5
('d', 'f', 'n'),5
('d', 'd', 'm'),5
('n', 'p', 'n'),5
('nr', 'ns', 'v'),5
('n', 'f', 'q'),5
('m', 's', 'v'),5
('v', 'l', 'l'),5
('m', 's', 'n'),5
('n', 'ns', 'd'),5
('v', 'm', 'nz'),5
('v', 'n', 'p'),5
('v', 'r', 'm'),5
('t', 'm', 'm'),5
('m', 'l', 'n'),5
('r', 'v', 'a'),5
('c', 'n', 'f'),5
('o', 'o', 'v'),5
('o', 'v', 'n'),5
('c', 'v', 's'),5
('v', 'n', 'ad'),5
('v', 'nr', 'c'),5
('f', 'm', 'v'),5
('r', 'v', 't'),5
('r', 'd', 'v'),5
('ng', 'm', 'v'),5
('n', 'v', 'ng'),5
('n', 'v', 'zg'),5
('nr', 'n', 'l'),5
('ns', 's', 'n'),5
('l', 'l', 'v'),5
('n', 'n', 'nrt'),5
('r', 'v', 'f'),5
('nr', 'a', 'nr'),5
('d', 'a', 'a'),5
('t', 't', 'd'),5
('d', 'v', 'ng'),5
('d', 's', 'n'),5
('vn', 'd', 'a'),5
('n', 'ad', 'n'),5
('vn', 'a', 'n'),5
('n', 'a', 'f'),5
('v', 's', 't'),5
('n', 't', 'l'),5
('t', 'l', 'v'),5
('v', 'm', 's'),5
('v', 'a', 'b'),5
('m', 'a', 'f'),5
('m', 'ns', 'v'),5
('v', 'm', 'l'),5
('f', 'm', 'd'),5
('f', 'q', 'n'),5
('a', 'a', 'd'),5
('l', 'v', 'f'),5
('s', 'v', 's'),5
('m', 'n', 'ng'),5
('an', 'n', 'v'),5
('nr', 's', 'n'),5
('ns', 'n', 't'),5
('f', 'm', 'a'),5
('n', 'ns', 'f'),5
('v', 'vn', 'd'),5
('nr', 'n', 'ns'),5
('ns', 'v', 'ns'),5
('v', 'r', 'a'),5
('u', 'n', 'v'),5
('u', 'n', 'n'),5
('s', 'v', 'f'),5
('m', 'd', 'd'),5
('ns', 'a', 'v'),5
('d', 'ns', 'v'),5
('i', 'v', 'd'),5
('v', 'a', 'f'),5
('f', 'a', 'a'),5
('v', 'n', 'vg'),5
('n', 'v', 'u'),5
('v', 'u', 'n'),5
('n', 'p', 'a'),5
('t', 'f', 's'),5
('s', 'v', 'ns'),5
('ng', 'n', 'v'),5
('a', 'nr', 'm'),5
