('ng', 'n', 'n'),19
('f', 'd', 'a'),19
('v', 'ns', 'nr'),19
('v', 'f', 's'),19
('v', 'l', 'm'),19
('c', 'v', 'nr'),19
('m', 'a', 'a'),19
('r', 'm', 'n'),19
('n', 'a', 'l'),19
('c', 'v', 'a'),18
('nr', 'z', 'v'),18
('d', 'vn', 'n'),18
('m', 'n', 'i'),18
('d', 'ns', 'v'),18
('q', 'n', 'nr'),18
('v', 'mq', 'n'),18
('nr', 'r', 'v'),18
('nr', 'nr', 'a'),18
('n', 'nr', 'ns'),18
('nr', 'd', 'nr'),18
('vn', 'v', 'm'),18
('ns', 'v', 'a'),18
('ns', 'v', 'ns'),18
('ns', 'a', 'n'),18
('t', 'nr', 'd'),18
('i', 'n', 'd'),18
('n', 'r', 'd'),18
('v', 'ns', 's'),18
('v', 'ns', 'f'),18
('m', 'd', 'a'),18
('ns', 'a', 'v'),18
('m', 'nr', 'nr'),18
('v', 'a', 'c'),18
('c', 'a', 'n'),18
('v', 'm', 'q'),18
('n', 'd', 'i'),18
('n', 'ns', 'f'),18
('n', 'b', 'nr'),18
('m', 'r', 'v'),18
('a', 'q', 'n'),18
('t', 'v', 'q'),18
('i', 'v', 'm'),18
('a', 'f', 'n'),18
('d', 'v', 'z'),17
('l', 't', 'v'),17
('t', 'l', 'v'),17
('s', 'f', 'v'),17
('b', 'nr', 'n'),17
('nrt', 'd', 'v'),17
('v', 'a', 'ns'),17
('n', 'd', 'f'),17
('v', 'ns', 'a'),17
('c', 'd', 'v'),17
('t', 'n', 't'),17
('q', 'v', 'a'),17
('i', 'v', 'a'),17
('n', 'a', 'q'),17
('v', 'ad', 'n'),17
('n', 'm', 'f'),17
('ns', 's', 'v'),17
('d', 'f', 'v'),17
('q', 'a', 'n'),17
('a', 'n', 'z'),17
('v', 'd', 'f'),17
('v', 'a', 'vn'),17
('n', 'n', 'ad'),17
('ns', 'v', 'd'),17
('d', 'nr', 'd'),17
('v', 'l', 't'),17
('q', 'n', 'f'),17
('vn', 'n', 'a'),17
('l', 'm', 'v'),17
('ns', 'v', 't'),17
('d', 'm', 'm'),17
('s', 's', 'v'),17
('n', 'ns', 'nr'),16
('v', 'm', 'z'),16
('n', 'q', 'd'),16
('b', 'v', 'm'),16
('nr', 'l', 'n'),16
('a', 'nr', 'm'),16
('nr', 'v', 'c'),16
('f', 'nr', 'd'),16
('i', 'v', 'nr'),16
('a', 't', 'nr'),16
('d', 'ns', 'n'),16
('n', 'c', 'nr'),16
('c', 'a', 'v'),16
('n', 'a', 'vn'),16
('z', 'v', 'a'),16
('d', 'c', 'n'),16
('m', 'c', 'v'),16
('v', 'v', 'j'),16
('v', 'zg', 'v'),16
('n', 'm', 's'),16
('a', 'n', 'c'),16
('n', 'nz', 'v'),16
('l', 'v', 's'),16
('n', 'v', 'zg'),16
('v', 'v', 'df'),16
('f', 'z', 'n'),16
('vn', 'nr', 'v'),16
('v', 'n', 'ad'),16
('q', 'v', 'm'),16
('m', 'm', 'a'),16
('f', 'n', 't'),16
('a', 'n', 'r'),16
('d', 'n', 'c'),16
('s', 'v', 'f'),16
('v', 'ng', 'n'),16
('m', 'v', 'r'),16
('ns', 'n', 'm'),16
('zg', 'v', 'n'),16
('m', 'n', 'c'),16
('r', 'nr', 'n'),16
('d', 'v', 'b'),16
('nr', 'b', 'v'),16
('m', 'vn', 'v'),16
('m', 't', 'd'),15
('v', 'v', 'zg'),15
('n', 'ns', 'd'),15
('s', 'n', 'nr'),15
('nr', 'm', 'm'),15
('n', 'f', 'i'),15
('nr', 'n', 'b'),15
('v', 'c', 'm'),15
('n', 'd', 'ns'),15
('d', 'd', 'm'),15
('vn', 'n', 'f'),15
('l', 'n', 'nr'),15
('v', 'c', 'nr'),15
('n', 'z', 'd'),15
('v', 'm', 'c'),15
('c', 'm', 'v'),15
('z', 'm', 'n'),15
('t', 'd', 'a'),15
('nr', 'a', 'a'),15
('n', 'ns', 'a'),15
('v', 'c', 'd'),15
('d', 'nr', 'm'),15
('nr', 't', 'd'),15
('vn', 'n', 'd'),15
('c', 'm', 'n'),15
('m', 'i', 'n'),15
('t', 's', 'v'),15
('r', 't', 'v'),15
('m', 'm', 't'),15
('v', 't', 'r'),15
('a', 'n', 'b'),15
('v', 'vn', 'nr'),15
('nr', 'n', 'i'),15
('v', 'd', 'q'),15
('l', 'l', 'v'),15
('m', 'n', 'b'),15
('l', 'n', 'a'),14
('n', 'a', 'b'),14
('v', 'zg', 'n'),14
('nr', 'v', 'z'),14
('n', 'zg', 'v'),14
('d', 'm', 'nr'),14
('d', 'n', 'r'),14
('vn', 'v', 'nr'),14
('m', 'n', 'z'),14
('n', 'vn', 'm'),14
('v', 't', 'f'),14
('t', 'f', 'v'),14
('d', 'm', 'd'),14
('v', 'a', 'i'),14
('a', 'nr', 'nr'),14
('t', 'n', 's'),14
('f', 'v', 's'),14
('m', 'nr', 'm'),14
('d', 'n', 'b'),14
('n', 'n', 'zg'),14
('f', 'a', 'a'),14
('t', 'ns', 'v'),14
('vn', 't', 'v'),14
('m', 'f', 'n'),14
('n', 'n', 'nz'),14
('zg', 'n', 'v'),14
('c', 'd', 'n'),14
('t', 'd', 'm'),14
('ns', 'n', 'ns'),14
('b', 'n', 'd'),14
('a', 't', 'a'),14
('v', 'm', 'nz'),14
('d', 'r', 'n'),14
('v', 't', 's'),14
('n', 'c', 'a'),14
('f', 'l', 'v'),14
('v', 'ns', 'm'),14
('n', 'r', 'nr'),14
('v', 'n', 'zg'),14
('ns', 'ns', 'n'),14
('m', 'a', 'm'),14
('r', 't', 'n'),14
('n', 'v', 'nt'),14
('f', 'z', 'v'),13
('n', 'ns', 'm'),13
('q', 'd', 'n'),13
('nr', 'n', 'ns'),13
('n', 'i', 'nr'),13
('z', 'a', 'n'),13
('nr', 'ns', 'n'),13
('f', 'v', 'ns'),13
('vn', 'a', 'v'),13
('n', 'f', 'c'),13
('n', 'a', 's'),13
('d', 'v', 'nz'),13
('r', 'd', 'n'),13
('nr', 'v', 'i'),13
('v', 'i', 'nr'),13
('nr', 't', 'nr'),13
('t', 'v', 'ns'),13
('a', 'i', 'v'),13
('t', 'vn', 'v'),13
('b', 'a', 'n'),13
('nr', 'm', 'nr'),13
('n', 'zg', 'n'),13
('nr', 'm', 'd'),13
('d', 'n', 'ns'),13
('u', 'v', 'n'),13
('ad', 'n', 'n'),13
('ns', 'f', 'n'),13
('ns', 'nr', 'n'),13
('s', 'v', 't'),13
('ns', 'd', 'n'),13
('v', 'df', 'n'),13
('v', 'd', 'b'),13
('i', 'a', 'n'),13
('d', 'z', 'v'),13
('nr', 't', 'm'),13
('n', 'f', 'b'),13
('nr', 'nr', 't'),13
('v', 'a', 'b'),13
('a', 'n', 'i'),13
('i', 'm', 'v'),13
('n', 'm', 'q'),13
('t', 'v', 'f'),13
('v', 't', 'c'),13
('v', 'nr', 'z'),13
('d', 'b', 'v'),13
('f', 't', 'v'),13
('v', 'd', 's'),13
('d', 'a', 'r'),13
('vn', 'v', 't'),13
('s', 'n', 'm'),13
('v', 'j', 'v'),13
('m', 'r', 'n'),13
('nr', 'n', 'vn'),13
('d', 'n', 'vn'),13
('vn', 'm', 'n'),13
('i', 'n', 'f'),13
('b', 'n', 'nr'),13
('d', 'q', 'n'),13
('t', 'v', 'vn'),13
('m', 't', 'm'),13
('ns', 'm', 'n'),13
('s', 'f', 'n'),13
('a', 'v', 'z'),13
('v', 's', 'l'),13
('v', 'z', 'm'),12
('z', 'm', 'v'),12
('t', 'z', 'v'),12
('n', 'a', 'r'),12
('mq', 'n', 'v'),12
('l', 'n', 'm'),12
('v', 'ng', 'f'),12
('i', 'nr', 'v'),12
('f', 'v', 'z'),12
('f', 'n', 'l'),12
('n', 'm', 'ns'),12
('m', 'n', 'vn'),12
('i', 'nr', 'n'),12
('nr', 'v', 'ng'),12
('n', 'nr', 'c'),12
('v', 't', 'vn'),12
('m', 'a', 'd'),12
('zg', 'n', 'n'),12
('s', 'z', 'v'),12
('a', 'v', 'i'),12
('zg', 'v', 'v'),12
('i', 'v', 'd'),12
('d', 'ad', 'v'),12
('nr', 'n', 'c'),12
('nr', 'n', 'r'),12
('n', 'vn', 'nr'),12
('n', 'f', 'f'),12
