('n', 'f', 'r'),5
('n', 'l', 't'),5
('ns', 'a', 'n'),5
('n', 'ns', 'nr'),5
('n', 'a', 'ns'),5
('d', 'v', 'b'),5
('m', 'n', 'q'),5
('n', 'q', 'v'),5
('n', 'nz', 'v'),5
('n', 'df', 'n'),5
('n', 'a', 'q'),5
('m', 'v', 's'),5
('v', 'v', 'z'),5
('n', 'c', 'nr'),5
('v', 'q', 'd'),5
('z', 'v', 'nr'),5
('m', 'z', 'n'),5
('a', 'q', 'n'),5
('a', 'f', 'v'),5
('nr', 't', 'n'),5
('s', 's', 'v'),5
('a', 'q', 'v'),5
('n', 'nr', 'l'),5
('m', 'nr', 'nr'),5
('f', 'd', 'a'),5
('ns', 'v', 'a'),5
('ns', 'f', 'n'),5
('ns', 'n', 'a'),5
('v', 'ns', 'a'),5
('ns', 'm', 'n'),5
('a', 'b', 'v'),5
('v', 'z', 'n'),5
('r', 'n', 'f'),5
('c', 'nr', 'v'),5
('d', 'v', 'l'),5
('ns', 't', 'n'),5
('v', 'rz', 'n'),5
('m', 'ns', 'v'),5
('s', 'v', 'ns'),5
('f', 'm', 'a'),5
('ns', 'd', 'v'),5
('r', 'v', 'm'),5
('d', 'a', 'r'),5
('a', 'n', 'q'),5
('n', 'n', 'vn'),5
('n', 'n', 'nrfg'),5
('v', 'd', 'q'),5
('t', 'd', 'a'),4
('ng', 'ng', 'v'),4
('a', 'nr', 'm'),4
('a', 'n', 'l'),4
('nr', 't', 'a'),4
('n', 'r', 'a'),4
('nz', 'n', 'n'),4
('t', 'v', 's'),4
('t', 'n', 'f'),4
('t', 'nr', 'nr'),4
('vg', 'n', 'n'),4
('nr', 'a', 'a'),4
('n', 'd', 'i'),4
('l', 'v', 'nr'),4
('i', 'd', 'v'),4
('v', 't', 'r'),4
('v', 's', 'ng'),4
('a', 'm', 't'),4
('l', 'd', 'v'),4
('ng', 'f', 'v'),4
('u', 'n', 'v'),4
('d', 'v', 'c'),4
('nr', 'f', 's'),4
('f', 'a', 'v'),4
('n', 'l', 'd'),4
('l', 'd', 'n'),4
('u', 'v', 'n'),4
('n', 'ns', 's'),4
('nr', 'v', 'l'),4
('n', 'n', 'q'),4
('r', 'n', 'd'),4
('n', 'a', 'c'),4
('m', 'n', 'z'),4
('v', 'nrfg', 'n'),4
('v', 'a', 'r'),4
('v', 'n', 'nrfg'),4
('l', 'n', 'a'),4
('a', 'c', 'v'),4
('n', 'ns', 'm'),4
('a', 'vn', 'v'),4
('d', 'a', 't'),4
('v', 'm', 'vn'),4
('d', 'c', 'n'),4
('s', 'n', 'm'),4
('v', 'm', 'l'),4
('ng', 'd', 'n'),4
('v', 'ng', 'f'),4
('n', 'a', 'nrt'),4
('df', 'v', 'df'),4
('v', 'd', 's'),4
('v', 'm', 'ng'),4
('d', 'n', 'ns'),4
('v', 'nrt', 'v'),4
('v', 'd', 'ns'),4
('d', 'ns', 'v'),4
('vn', 'm', 'n'),4
('v', 'l', 'a'),4
('d', 'c', 'v'),4
('v', 'nr', 'l'),4
('n', 'l', 'a'),4
('nr', 'n', 'ns'),4
('f', 'v', 'q'),4
('vg', 'n', 'v'),4
('nr', 'nr', 'a'),4
('v', 'vn', 'n'),4
('t', 'nr', 'm'),4
('l', 't', 'n'),4
('m', 'i', 'n'),4
('nr', 'd', 'nr'),4
('d', 'nr', 'm'),4
('d', 'v', 'nz'),4
('t', 'd', 'd'),4
('a', 'q', 'a'),4
('d', 'l', 'nr'),4
('m', 'v', 'l'),4
('c', 'v', 'a'),4
('d', 'n', 'l'),4
('ns', 'n', 's'),4
('nr', 'n', 'b'),4
('n', 'b', 'm'),4
('a', 'v', 'i'),4
('n', 'ns', 'ns'),4
('l', 't', 'v'),4
('ns', 'm', 'v'),4
('s', 'z', 'v'),4
('n', 'nr', 'r'),4
('r', 'nr', 'n'),4
('n', 'd', 'f'),4
('d', 'm', 'd'),4
('v', 'nr', 'r'),4
('z', 'm', 'n'),4
('nr', 'm', 't'),4
('d', 't', 't'),4
('r', 'a', 'n'),4
('b', 'nr', 'n'),4
('nr', 'n', 'c'),4
('v', 'vn', 'v'),4
('b', 'n', 'd'),4
('q', 'nr', 'v'),4
('n', 'v', 'df'),4
('n', 'm', 'ns'),4
('nr', 'ng', 'n'),4
('ns', 'n', 'ns'),4
('ns', 'ns', 'ns'),4
('nr', 'f', 'm'),4
('a', 'l', 'v'),4
('a', 'v', 'ns'),4
('ns', 'n', 'nr'),4
('ns', 's', 'n'),4
('n', 'c', 'm'),4
('m', 'm', 'm'),4
('v', 'i', 'a'),4
('d', 'v', 'r'),4
('nr', 'v', 's'),4
('s', 'v', 't'),4
('n', 'f', 'vn'),4
('s', 'b', 'v'),4
('d', 'a', 'd'),4
('m', 'b', 'n'),4
('ng', 'v', 'nr'),4
('m', 'a', 's'),4
('n', 'v', 'rz'),4
('r', 't', 'n'),4
('s', 'm', 'v'),4
('m', 'r', 'v'),4
('t', 'v', 'r'),4
('n', 'v', 'nrfg'),4
('v', 'd', 'r'),4
('r', 't', 'v'),4
('v', 'm', 'r'),4
