('v', 'mq', 'n'),10
('s', 'f', 'n'),10
('v', 'n', 'ng'),10
('f', 'm', 'm'),10
('m', 't', 'n'),10
('a', 'a', 'd'),10
('v', 'f', 'nr'),10
('q', 'n', 't'),10
('vn', 'n', 'd'),10
('n', 'vn', 'f'),10
('v', 'ns', 'f'),10
('nr', 'nr', 'm'),10
('l', 'l', 'v'),10
('n', 'nrt', 'n'),10
('a', 'n', 'b'),10
('s', 'v', 'f'),10
('t', 'c', 'v'),10
('n', 's', 'nr'),10
('d', 'vn', 'n'),10
('n', 'r', 'nr'),10
('r', 'nr', 'n'),10
('l', 'n', 'nr'),10
('q', 'v', 'nr'),10
('nr', 'v', 'i'),10
('n', 'vn', 'nr'),10
('n', 'l', 'd'),10
('n', 'q', 'd'),10
('zg', 'v', 'n'),10
('t', 'v', 'vn'),10
('vn', 'l', 'v'),10
('b', 'nr', 'n'),10
('n', 'n', 'ng'),10
('nr', 'ns', 'n'),10
('z', 'v', 'm'),10
('v', 'm', 'i'),10
('f', 'nr', 'd'),10
('nr', 'd', 'nr'),10
('nr', 'v', 'z'),10
('m', 'q', 'n'),10
('v', 'vn', 'vn'),10
('a', 'ns', 'n'),10
('vn', 'f', 'v'),10
('v', 'r', 'r'),10
('d', 'd', 'a'),10
('v', 'vn', 'nr'),10
('z', 'v', 'nr'),10
('v', 'l', 'm'),10
('t', 'v', 'l'),10
('s', 'nr', 'n'),10
('v', 'a', 'r'),10
('v', 'df', 'v'),10
('d', 'nr', 'd'),10
('c', 'v', 'd'),10
('v', 'n', 'zg'),10
('a', 'q', 'n'),10
('d', 't', 'n'),10
('v', 's', 'l'),10
('n', 'df', 'v'),10
('nr', 't', 'nr'),10
('n', 'd', 'c'),10
('d', 'z', 'v'),9
('m', 'n', 'ns'),9
('q', 'a', 'v'),9
('n', 'v', 'mq'),9
('n', 't', 'l'),9
('m', 'a', 'd'),9
('a', 'd', 'm'),9
('v', 'vn', 'a'),9
('nr', 'm', 'm'),9
('t', 'n', 't'),9
('f', 'd', 'a'),9
('l', 'v', 'r'),9
('n', 'vn', 'd'),9
('l', 'v', 's'),9
('v', 'f', 'a'),9
('v', 'f', 's'),9
('d', 'v', 'i'),9
('l', 'n', 'm'),9
('nr', 'n', 'l'),9
('l', 'nr', 'd'),9
('v', 'i', 'nr'),9
('l', 't', 'v'),9
('q', 'n', 'nr'),9
('v', 'nt', 'v'),9
('n', 'i', 'nr'),9
('a', 'v', 'vn'),9
('nt', 'v', 'n'),9
('ad', 'n', 'v'),9
('ng', 'v', 'v'),9
('s', 'v', 's'),9
('ns', 'f', 'v'),9
('n', 'ns', 'a'),9
('vn', 'vn', 'n'),9
('m', 'n', 'vn'),9
('zg', 'n', 'n'),9
('m', 'n', 'r'),9
('nz', 'v', 'v'),9
('v', 'ad', 'n'),9
('d', 'ad', 'v'),9
('n', 'a', 'q'),9
('nr', 'i', 'v'),9
('v', 'ns', 't'),9
('v', 'l', 'f'),9
('v', 't', 'f'),9
('d', 'i', 'v'),9
('n', 'zg', 'v'),9
('b', 'n', 'nr'),9
('d', 'c', 'v'),9
('f', 'r', 'n'),9
('nr', 'b', 'v'),9
('d', 'v', 'z'),9
('n', 'v', 'zg'),9
('m', 'f', 'n'),9
('v', 'f', 'r'),9
('d', 'r', 'n'),9
('c', 'v', 'm'),9
('n', 'f', 'f'),8
('n', 'm', 'f'),8
('s', 'l', 'v'),8
('v', 'nr', 'z'),8
('n', 'd', 'f'),8
('ns', 's', 'v'),8
('o', 'n', 'v'),8
('ad', 'n', 'n'),8
('nr', 'z', 'v'),8
('m', 'v', 'ns'),8
('v', 'ns', 'nr'),8
('m', 'm', 't'),8
('d', 'q', 'n'),8
('ns', 't', 'v'),8
('ns', 'n', 'f'),8
('m', 'nr', 'm'),8
('nr', 'nr', 's'),8
('vn', 'nr', 'nr'),8
('a', 's', 'n'),8
('a', 'n', 'r'),8
('i', 'nr', 'v'),8
('m', 't', 'm'),8
('a', 'n', 'z'),8
('l', 'f', 'v'),8
('ng', 'n', 'n'),8
('t', 'n', 's'),8
('f', 'v', 'vn'),8
('v', 'l', 't'),8
('nr', 't', 'm'),8
('n', 'z', 'd'),8
('vn', 't', 'n'),8
('nt', 'n', 'n'),8
('f', 'n', 'l'),8
('m', 'n', 'c'),8
('ns', 'n', 'a'),8
('b', 'v', 'a'),8
('v', 'df', 'n'),8
('v', 'l', 'l'),8
('d', 'nr', 'm'),8
('n', 'v', 'ad'),8
('n', 'r', 'f'),8
('f', 'z', 'v'),8
('v', 's', 's'),8
('n', 'c', 'a'),8
('a', 'v', 'c'),8
('vn', 'n', 'nr'),8
('n', 'm', 't'),8
('m', 'nr', 'd'),8
('a', 'm', 'nr'),8
('i', 'n', 'm'),8
('s', 'd', 'n'),8
('zg', 'n', 'v'),8
('v', 'vn', 't'),8
('vn', 'vn', 'v'),8
('r', 't', 'v'),8
('c', 'a', 'v'),8
('v', 'zg', 'n'),8
('nr', 'n', 'vn'),8
('v', 'ns', 'm'),8
('r', 'l', 'v'),8
('d', 'c', 'n'),8
('a', 'd', 'a'),8
('v', 'v', 'mq'),8
('v', 'r', 'vn'),8
('nr', 'n', 'b'),8
('a', 'n', 's'),8
('v', 'l', 'r'),8
('a', 'a', 'nr'),8
('r', 'r', 'v'),8
('df', 'v', 'v'),8
('nr', 'c', 'v'),8
('d', 'n', 'vn'),8
('vn', 'v', 't'),8
('v', 'vn', 'l'),8
('c', 'r', 'v'),8
('l', 'r', 'v'),8
('i', 'm', 'v'),8
('nr', 'v', 'c'),8
('p', 'n', 'v'),8
('ng', 'n', 'v'),8
('a', 'vn', 'v'),8
('n', 't', 'r'),8
('c', 'v', 'nr'),8
('m', 'm', 'nr'),8
('vn', 'a', 'v'),8
('n', 'n', 'zg'),8
('v', 'd', 'z'),8
('d', 'f', 'v'),8
('a', 'ns', 'v'),7
('n', 'a', 'r'),7
('v', 'v', 'nrfg'),7
