('nr', 'r', 'n'),3
('ng', 'v', 'n'),3
('nr', 's', 'n'),3
('a', 'v', 'f'),3
('m', 'i', 'n'),2
('f', 't', 'nr'),2
('nr', 'nr', 'q'),2
('r', 't', 'a'),2
('q', 'ns', 'n'),2
('t', 'nr', 'n'),2
('nz', 'n', 'n'),2
('vn', 'r', 'n'),2
('v', 'c', 'd'),2
('c', 'd', 'n'),2
('d', 'vn', 'd'),2
('a', 'n', 'r'),2
('a', 'q', 'nr'),2
('q', 'nr', 'v'),2
('i', 'n', 'nr'),2
('ns', 'r', 'v'),2
('v', 'a', 'q'),2
('i', 'ns', 'v'),2
('n', 't', 'vn'),2
('n', 'q', 'd'),2
('a', 'n', 'b'),2
('d', 'nrt', 'n'),2
('t', 'n', 'ns'),2
('v', 'v', 'j'),2
('j', 'v', 'v'),2
('n', 't', 'i'),2
('t', 'i', 'v'),2
('n', 'nrt', 'n'),2
('v', 't', 'b'),2
('t', 'b', 'v'),2
('v', 'nrt', 'a'),2
('nrt', 'a', 'n'),2
('f', 'nr', 'nr'),2
('d', 't', 'nr'),2
('v', 'nr', 'z'),2
('nr', 'z', 'v'),2
('df', 'v', 'nr'),2
('v', 'd', 'l'),2
('n', 'n', 'zg'),2
('n', 'zg', 'v'),2
('m', 'n', 'r'),2
('ns', 'n', 'nr'),2
('u', 'n', 'n'),2
('c', 't', 'n'),2
('v', 'vn', 'ns'),2
('a', 'n', 'ad'),2
('l', 'd', 'n'),2
('ns', 'ns', 's'),2
('ns', 's', 'v'),2
('f', 'd', 'd'),2
('a', 'a', 'vn'),2
('a', 'vn', 'm'),2
('v', 'u', 'v'),2
('u', 'v', 'n'),2
('v', 'a', 'an'),2
('a', 'an', 'v'),2
('n', 't', 'm'),2
('m', 'm', 'm'),2
('n', 't', 'r'),2
('r', 't', 'v'),2
('n', 'd', 'r'),2
('f', 'b', 'v'),2
('n', 'f', 'ad'),2
('n', 'd', 'vn'),2
('d', 'vn', 'n'),2
('d', 'v', 'mq'),2
('v', 'mq', 'n'),2
('ng', 'n', 'm'),2
('ad', 'v', 'vn'),2
('v', 'q', 'r'),2
('vn', 'a', 'd'),2
('m', 'v', 'f'),2
('n', 'c', 'm'),2
('f', 'd', 'n'),2
('m', 'l', 'n'),2
('nr', 'i', 'a'),2
('a', 't', 'd'),2
('t', 'm', 'nr'),2
('t', 'd', 'd'),2
('n', 'l', 'nr'),2
('n', 'u', 'v'),2
('u', 'v', 'v'),2
('a', 'n', 'nz'),2
('v', 'a', 'b'),2
('f', 'vn', 'd'),2
('f', 'm', 'vn'),2
('v', 'c', 'a'),2
('t', 'v', 'z'),2
('l', 'v', 'vn'),2
('n', 'c', 'a'),2
('ad', 'nr', 'f'),2
('f', 'v', 'b'),2
('t', 'v', 'vn'),2
('f', 'm', 'zg'),2
('n', 'a', 't'),2
('i', 'n', 'vn'),2
('df', 'v', 'v'),2
('ns', 'vn', 'v'),2
('nz', 'v', 'c'),2
('v', 'c', 'ns'),2
('ns', 'ns', 'nr'),2
('n', 'd', 'b'),2
('d', 'b', 'v'),2
('ns', 't', 'a'),2
('v', 'vn', 'b'),2
('vn', 'b', 'n'),2
('a', 'r', 'v'),2
('n', 'f', 'c'),2
('f', 'c', 'v'),2
('d', 'n', 'ns'),2
('ns', 'i', 'v'),2
('v', 'm', 'nz'),2
('m', 'nz', 'v'),2
('m', 'z', 'v'),2
('d', 'nr', 'd'),2
('v', 't', 'c'),2
('t', 'c', 'n'),2
('n', 'ng', 'ng'),2
('vg', 'v', 'v'),2
('v', 'v', 'zg'),2
('zg', 'd', 'v'),2
('t', 'r', 'd'),2
('nr', 'm', 'nr'),2
('v', 'f', 's'),2
('s', 'nr', 'v'),2
('l', 'ns', 'v'),2
('ns', 'v', 'ns'),2
('v', 'ns', 'i'),2
('n', 'nr', 'vg'),2
('n', 's', 'r'),2
('s', 'r', 'n'),2
('r', 'n', 'a'),2
('a', 'z', 'v'),2
('nrt', 't', 'v'),2
('v', 'j', 'd'),2
('j', 'd', 'v'),2
('f', 'n', 't'),2
('l', 'a', 'a'),2
('c', 'n', 'f'),2
('l', 'v', 'c'),2
('t', 'v', 'f'),2
('f', 'd', 'a'),2
('t', 't', 'd'),2
('v', 'f', 'c'),2
('m', 'mq', 'n'),2
('d', 'n', 's'),2
('a', 'a', 'c'),2
('t', 'n', 'm'),2
('ng', 'm', 'z'),2
('f', 's', 'v'),2
('z', 'z', 'v'),2
('v', 'vn', 'm'),2
('vn', 'm', 'n'),2
('q', 'n', 'd'),2
('t', 'vn', 'a'),2
('vn', 'a', 'v'),2
('a', 'ns', 'd'),2
('t', 'l', 'v'),2
('b', 'v', 't'),2
('l', 'l', 'v'),2
('a', 'c', 'n'),2
('c', 'n', 'r'),2
('z', 'm', 'v'),2
('t', 'nr', 'c'),2
('m', 'v', 's'),2
('m', 'n', 'zg'),2
('nr', 'v', 'vn'),2
('q', 'v', 'an'),2
('v', 'an', 'n'),2
('an', 'n', 'a'),2
('t', 'n', 's'),2
('nr', 'n', 'vn'),2
('v', 'a', 'ad'),2
('c', 'v', 'vn'),2
('v', 'vn', 't'),2
('vn', 'r', 'v'),2
('r', 'v', 'f'),2
