('m', 'n', 't'),5
('nr', 'z', 'v'),5
('a', 'n', 's'),5
('v', 'm', 'z'),5
('d', 'vn', 'n'),5
('z', 'v', 'm'),5
('n', 'n', 'c'),5
('d', 't', 'n'),5
('d', 'r', 'v'),5
('m', 'b', 'v'),5
('n', 'a', 'f'),5
('v', 'v', 'zg'),5
('ns', 'd', 'v'),5
('q', 'd', 'v'),5
('nr', 'v', 'f'),5
('t', 'd', 't'),5
('a', 't', 'n'),5
('a', 'nr', 'm'),5
('a', 'm', 'a'),5
('nr', 'n', 'ns'),5
('q', 'n', 'v'),5
('v', 'v', 'b'),5
('v', 'nr', 't'),5
('b', 'd', 'v'),5
('d', 'v', 's'),5
('v', 'ng', 'v'),5
('ng', 'v', 'v'),5
('nr', 'n', 't'),5
('d', 'v', 'r'),5
('d', 'a', 't'),5
('f', 'm', 'n'),5
('t', 'v', 'nr'),5
('nr', 'd', 'm'),5
('v', 'nz', 'v'),5
('c', 'nr', 'v'),5
('c', 'a', 'v'),5
('n', 'a', 'vn'),5
('n', 'm', 'a'),5
('n', 'vn', 't'),5
('nr', 'v', 'ng'),5
('l', 'n', 'n'),5
('v', 'a', 'i'),5
('a', 'i', 'v'),5
('v', 'f', 'a'),5
('t', 'm', 'n'),5
('n', 't', 'a'),5
('c', 'v', 'd'),5
('i', 'n', 'n'),5
('v', 'a', 'f'),5
('m', 'c', 'v'),5
('d', 'd', 'a'),5
('n', 'r', 'd'),5
('a', 'a', 'vn'),5
('v', 'n', 'ng'),5
('i', 'v', 'a'),5
('v', 'm', 'i'),5
('a', 'm', 'd'),5
('n', 'n', 'i'),5
('d', 'v', 'vn'),5
('v', 'a', 'q'),5
('m', 'v', 'ns'),5
('ad', 'n', 'n'),5
('a', 'a', 'a'),5
('l', 'v', 'd'),5
('vn', 't', 'v'),5
('d', 'n', 'f'),5
('n', 'vn', 'n'),5
('t', 'a', 'n'),5
('r', 'v', 'nrt'),5
('q', 'a', 'n'),5
('v', 'd', 'b'),5
('nrt', 'nr', 'v'),5
('r', 'v', 'd'),5
('vn', 'v', 'd'),5
('a', 'd', 'a'),5
('n', 'n', 'ad'),5
('t', 'r', 'v'),5
('v', 's', 'nr'),5
('f', 'n', 't'),5
('v', 'a', 'b'),5
('ng', 'v', 'n'),5
('nrt', 'n', 'n'),5
('n', 't', 't'),5
('nr', 'v', 'nrt'),5
('v', 'ns', 'nr'),5
('v', 'z', 'm'),4
('z', 'm', 'v'),4
('f', 'z', 'v'),4
('d', 'c', 'v'),4
('n', 'vg', 'n'),4
('l', 'n', 'a'),4
('n', 's', 'a'),4
('t', 'z', 'v'),4
('u', 'd', 'v'),4
('ns', 'n', 'd'),4
('vn', 'a', 'n'),4
('n', 'vn', 'vn'),4
('f', 'v', 'r'),4
('m', 's', 'v'),4
('l', 't', 'v'),4
('n', 'v', 'nz'),4
('v', 'nz', 'n'),4
('s', 'c', 'v'),4
('v', 'nr', 'c'),4
('nr', 'c', 'n'),4
('v', 'ns', 'd'),4
('d', 'd', 'nr'),4
('nr', 'nr', 'd'),4
('v', 'mq', 'n'),4
('ng', 'n', 'v'),4
('q', 'd', 'n'),4
('m', 'ns', 'n'),4
('b', 'v', 'm'),4
('v', 's', 'f'),4
('s', 'n', 'nr'),4
('nr', 'r', 'v'),4
('nr', 'f', 'd'),4
('nr', 'v', 'c'),4
('i', 'v', 'nr'),4
('v', 'ng', 'f'),4
('ng', 'f', 'v'),4
('v', 'nrt', 'nr'),4
('t', 'c', 'v'),4
('nr', 'v', 'b'),4
('nr', 'nr', 'm'),4
('z', 'a', 'n'),4
('r', 'n', 'n'),4
('n', 'a', 'i'),4
('v', 'nr', 'nrt'),4
('v', 'nrt', 'a'),4
('n', 'b', 'd'),4
('v', 'ns', 't'),4
('a', 't', 'nr'),4
('d', 'ns', 'n'),4
('nz', 'v', 'n'),4
('f', 'nr', 'v'),4
('b', 'ns', 'n'),4
('nrt', 'v', 'nr'),4
('v', 'nrt', 'm'),4
('v', 'd', 'c'),4
('b', 'v', 'd'),4
('n', 'd', 'f'),4
('an', 'n', 'd'),4
('nr', 'a', 'd'),4
('v', 'b', 'a'),4
('nr', 'd', 'nr'),4
('a', 'nr', 'a'),4
('s', 'd', 'n'),4
('m', 'l', 'v'),4
('v', 'ns', 'a'),4
('vn', 'v', 'a'),4
('vn', 'a', 'a'),4
('i', 'n', 'd'),4
('n', 'q', 'n'),4
('d', 'n', 't'),4
('ns', 'n', 'f'),4
('t', 'n', 'a'),4
('v', 'ns', 'f'),4
('a', 'v', 'i'),4
('v', 'v', 'j'),4
('t', 'm', 'v'),4
('zg', 'v', 'v'),4
('s', 'v', 's'),4
('d', 'f', 'n'),4
('i', 'v', 'd'),4
('nr', 'd', 'l'),4
('a', 't', 'v'),4
('v', 'a', 'j'),4
('v', 'ad', 'n'),4
('a', 'c', 'v'),4
('v', 'v', 'df'),4
('m', 'v', 'l'),4
('d', 'f', 'v'),4
('t', 'd', 'n'),4
('v', 'c', 'd'),4
('c', 'd', 'n'),4
('a', 'vn', 'v'),4
('m', 'nr', 't'),4
('t', 'n', 'nr'),4
('a', 'd', 'd'),4
('v', 'vg', 'n'),4
('f', 'b', 'v'),4
('v', 'n', 'i'),4
('n', 'ad', 'n'),4
('v', 'a', 'vn'),4
('v', 'q', 't'),4
('a', 't', 'a'),4
('t', 'v', 'f'),4
('df', 'v', 'v'),4
('d', 'b', 'v'),4
('v', 'l', 'd'),4
('ad', 'a', 'v'),4
('a', 'nr', 't'),4
('n', 'l', 'd'),4
('v', 'd', 'nrt'),4
('s', 'm', 'v'),4
('nr', 'nr', 'nr'),4
('n', 'f', 'l'),4
('t', 't', 'v'),4
('v', 'm', 't'),4
('d', 'v', 'z'),3
('n', 'nr', 'i'),3
('v', 'n', 'vg'),3
('n', 'ns', 'nr'),3
('s', 'a', 'n'),3
('s', 'nr', 'n'),3
('z', 'n', 'a'),3
('f', 'n', 'm'),3
('d', 'm', 'a'),3
('v', 'r', 's'),3
('a', 'nr', 's'),3
('a', 'r', 'd'),3
('nz', 'n', 'n'),3
('n', 'd', 'r'),3
('r', 'v', 'm'),3
('m', 'v', 's'),3
('d', 'm', 't'),3
('d', 'a', 'l'),3
('v', 'd', 'ns'),3
('i', 'n', 'a'),3
('v', 'v', 'mq'),3
('n', 'q', 'd'),3
('v', 'm', 'ns'),3
('a', 'a', 'ns'),3
('n', 'm', 'z'),3
('b', 'n', 'a'),3
('ns', 'nr', 'v'),3
('b', 'nr', 'n'),3
('f', 'nr', 'd'),3
('v', 'nr', 'j'),3
('r', 'd', 'nr'),3
('nr', 'nr', 'a'),3
('nr', 'f', 'n'),3
('ns', 'n', 'a'),3
('n', 'f', 'r'),3
('n', 'u', 'v'),3
('t', 'nr', 'm'),3
('nr', 'm', 'm'),3
('m', 'm', 'm'),3
('n', 'vn', 'a'),3
('n', 'f', 'i'),3
('a', 'i', 'd'),3
('d', 'm', 'nr'),3
('n', 'nr', 'ns'),3
('l', 'v', 'vn'),3
('d', 'n', 'r'),3
('f', 'v', 'q'),3
('n', 'f', 'c'),3
('nr', 'n', 'b'),3
('n', 'd', 'ns'),3
('ns', 'ns', 'v'),3
('a', 'nz', 'v'),3
('j', 'n', 'v'),3
('d', 'v', 'nz'),3
('n', 'c', 'nr'),3
('a', 'vn', 'f'),3
('v', 'q', 'b'),3
('l', 'v', 'm'),3
('v', 't', 'nrt'),3
('nr', 'f', 'r'),3
('r', 'a', 'v'),3
('v', 'r', 'nrt'),3
('n', 'd', 'nrt'),3
('vn', 'n', 'f'),3
('c', 'nr', 'd'),3
('d', 'm', 'd'),3
('n', 'nr', 'c'),3
('m', 'v', 'z'),3
('an', 'm', 'v'),3
('v', 'm', 'ng'),3
('n', 'd', 'c'),3
('d', 'c', 'n'),3
('t', 'nr', 'n'),3
('v', 't', 'vn'),3
('t', 'vn', 'v'),3
('f', 'm', 'a'),3
('t', 'm', 'a'),3
('j', 'a', 'nr'),3
('a', 'l', 'n'),3
('n', 'v', 'ad'),3
('ns', 'v', 'a'),3
('f', 'v', 's'),3
('m', 'nr', 'm'),3
('u', 'n', 'v'),3
('ns', 'a', 'n'),3
('v', 'ns', 'vn'),3
('n', 'z', 'd'),3
('d', 'n', 'b'),3
('v', 'd', 'an'),3
('a', 'd', 't'),3
('z', 'm', 'n'),3
('z', 'nr', 'v'),3
('f', 'a', 'a'),3
('nr', 'm', 'd'),3
('d', 'n', 'ns'),3
('r', 'd', 'a'),3
('nr', 'a', 'a'),3
('r', 'n', 'r'),3
('r', 'v', 'f'),3
('d', 'l', 'd'),3
('v', 't', 'ns'),3
('m', 'd', 'a'),3
('m', 'd', 'ad'),3
('a', 'n', 'c'),3
('v', 'm', 'b'),3
('t', 'n', 'c'),3
('n', 'i', 'n'),3
('a', 'q', 'a'),3
('d', 'c', 'a'),3
('m', 'f', 'n'),3
('ns', 'f', 'n'),3
('ns', 'n', 'nr'),3
('m', 'n', 'l'),3
('l', 'v', 's'),3
('s', 'v', 't'),3
('d', 'ns', 'ns'),3
('v', 'c', 'a'),3
('n', 'd', 'b'),3
('d', 'b', 'd'),3
('v', 'df', 'n'),3
('z', 'n', 'f'),3
('a', 'n', 'nrt'),3
