('n', 'f', 'vn'),3
('nz', 'v', 'n'),3
('v', 't', 'd'),3
('a', 'd', 'a'),3
('f', 'd', 'r'),3
('nz', 'n', 'n'),3
('p', 'n', 'n'),3
('d', 'nr', 's'),3
('n', 'p', 'n'),3
('m', 'l', 'v'),3
('z', 'n', 'f'),3
('v', 's', 'r'),3
('r', 'm', 'n'),3
('l', 'm', 'n'),3
('ns', 'n', 'm'),3
('r', 'v', 'a'),3
('a', 'a', 'd'),3
('m', 'm', 'm'),3
('v', 'nr', 'l'),3
('n', 'v', 'ad'),3
('nr', 'r', 'n'),3
('d', 'v', 'f'),3
('t', 'n', 'm'),3
('z', 'f', 'v'),3
('m', 'v', 's'),3
('v', 'r', 'd'),3
('a', 'n', 'i'),3
('d', 'n', 'm'),3
('nr', 'v', 'b'),3
('f', 'n', 't'),3
('v', 'v', 'vg'),3
('a', 'vn', 'n'),3
('nr', 'f', 'nr'),3
('vn', 'nr', 'v'),3
('nr', 'n', 'ns'),3
('ns', 'n', 'a'),3
('r', 'd', 'n'),3
('s', 'n', 'nr'),3
('n', 't', 'b'),3
('nr', 'd', 'm'),3
('m', 'l', 'nr'),3
('q', 'f', 'v'),3
('v', 'd', 'l'),3
('v', 'p', 'n'),3
('v', 'ns', 'r'),3
('n', 'r', 'd'),3
('ns', 'n', 'r'),3
('t', 's', 'n'),3
('r', 'n', 't'),3
('q', 'q', 'v'),3
('q', 's', 'n'),3
('v', 'nz', 'v'),3
('t', 'v', 's'),3
('v', 'q', 'q'),3
('i', 'nr', 'v'),3
('n', 't', 'q'),3
('t', 'q', 'v'),3
('f', 'n', 'nr'),3
('n', 't', 't'),3
('r', 'n', 'f'),3
('v', 'r', 't'),3
('nr', 'q', 'n'),3
('a', 'v', 'f'),3
('n', 't', 'm'),3
('n', 'q', 't'),3
('q', 'v', 's'),3
('q', 'nr', 'n'),3
('v', 'n', 'df'),3
('l', 'v', 'a'),3
('ns', 't', 'v'),3
('f', 'n', 'vn'),3
('nr', 'vn', 'v'),3
('n', 'l', 'a'),3
('ns', 'n', 'nr'),3
('n', 'n', 'an'),3
('nr', 'd', 'nr'),3
('m', 'n', 'vn'),3
('v', 'j', 'n'),3
('ng', 'f', 'v'),3
('a', 'nr', 'nr'),3
('n', 'f', 't'),3
('t', 't', 'a'),3
('t', 'ns', 'n'),3
('ns', 'ns', 'n'),3
('ns', 'ng', 'a'),3
('nr', 'ns', 'ng'),3
('nr', 'c', 'n'),3
('v', 'b', 'a'),3
('nr', 'c', 'a'),3
('n', 'd', 'r'),3
('n', 'd', 's'),3
('s', 'vn', 'v'),3
('ns', 'ng', 'f'),3
('m', 'ns', 'n'),2
('z', 'n', 'ns'),2
('n', 'a', 'vn'),2
('vn', 'm', 'n'),2
('b', 'n', 'ns'),2
('ns', 'v', 'a'),2
('i', 'n', 's'),2
('ad', 'a', 'n'),2
('f', 'v', 'ns'),2
('v', 'ns', 'm'),2
('n', 'ng', 'm'),2
('z', 'v', 'm'),2
('nr', 'r', 'nr'),2
('nr', 'nr', 'f'),2
('f', 'c', 'v'),2
('r', 'v', 't'),2
('t', 'nr', 'f'),2
('n', 's', 'ng'),2
('t', 'v', 'd'),2
('d', 'a', 'm'),2
('d', 'nr', 'm'),2
('t', 'a', 's'),2
('nr', 'l', 'v'),2
('n', 'd', 'c'),2
('v', 'i', 't'),2
('i', 't', 'n'),2
('v', 's', 'ns'),2
('n', 's', 't'),2
('t', 's', 'nr'),2
('v', 'n', 'vg'),2
