('n', 'f', 'i'),19
('ns', 'n', 'm'),19
('i', 'n', 'd'),19
('nr', 'l', 'n'),19
('t', 'n', 'm'),19
('v', 'r', 'd'),19
('vg', 'n', 'v'),19
('a', 'a', 'a'),19
('v', 'nz', 'v'),19
('l', 'l', 'n'),19
('n', 't', 't'),19
('d', 'a', 'a'),19
('m', 'v', 'l'),19
('a', 'nr', 'nr'),19
('f', 't', 'v'),19
('v', 'a', 'l'),19
('ns', 'v', 'nr'),19
('d', 'm', 'm'),19
('i', 'd', 'v'),19
('v', 'l', 'l'),19
('ns', 'v', 't'),19
('d', 'v', 'c'),19
('ns', 'nr', 'v'),18
('z', 'v', 'm'),18
('v', 'r', 'nr'),18
('d', 'm', 'a'),18
('d', 'f', 'v'),18
('v', 'mq', 'n'),18
('d', 'v', 'q'),18
('b', 'n', 'd'),18
('n', 'ad', 'n'),18
('m', 's', 'v'),18
('m', 'a', 'd'),18
('r', 'v', 'a'),18
('v', 's', 's'),18
('v', 'nr', 'l'),18
('nr', 'r', 'n'),18
('s', 'n', 'a'),18
('n', 'c', 'a'),18
('ns', 'v', 's'),18
('t', 'v', 's'),18
('ns', 't', 'v'),18
('ng', 'f', 'v'),18
('ns', 'nr', 'n'),18
('n', 'a', 'r'),18
('f', 'a', 'v'),18
('s', 'v', 'ns'),18
('l', 'ns', 'v'),18
('n', 's', 'm'),17
('v', 'n', 'mq'),17
('s', 'm', 'v'),17
('f', 'v', 't'),17
('n', 'ns', 'f'),17
('n', 'n', 'zg'),17
('n', 'n', 'nz'),17
('t', 'nr', 'd'),17
('v', 'r', 'a'),17
('v', 'f', 'a'),17
('v', 'l', 'm'),17
('a', 'l', 'n'),17
('f', 'm', 'a'),17
('m', 'v', 'c'),17
('nr', 'n', 't'),17
('nr', 'n', 'ns'),17
('l', 'n', 'f'),17
('ng', 'n', 'v'),17
('v', 'nr', 'c'),17
('nr', 'd', 'nr'),17
('s', 'a', 'v'),17
('n', 'ns', 'd'),17
('v', 'ns', 'a'),17
('l', 'ns', 'n'),17
('m', 'm', 't'),17
('s', 't', 'v'),17
('nr', 'd', 'a'),17
('n', 'c', 'd'),17
('m', 'z', 'n'),16
('ns', 'a', 'v'),16
('v', 'a', 'f'),16
('s', 'v', 's'),16
('a', 'v', 'r'),16
('v', 'd', 'vn'),16
('a', 'n', 'r'),16
('s', 'n', 's'),16
('v', 'vg', 'n'),16
('zg', 'n', 'v'),16
('n', 't', 'f'),16
('v', 'ng', 'n'),16
('a', 'a', 'd'),16
('f', 's', 'n'),16
('ad', 'n', 'n'),16
('nr', 'n', 'c'),16
('a', 'n', 'i'),16
('n', 'nr', 'l'),16
('nr', 'f', 'nr'),16
('c', 'v', 'd'),16
('f', 'n', 's'),16
('i', 'nr', 'v'),16
('zg', 'n', 'n'),16
('a', 'n', 'z'),16
('m', 'r', 'v'),16
('a', 'v', 'q'),16
('v', 'q', 'a'),16
('n', 'd', 'r'),16
('nr', 'd', 'd'),16
('n', 'nr', 'c'),16
('a', 'f', 'v'),16
('a', 'r', 'v'),16
('v', 'i', 'd'),16
('d', 'f', 'n'),16
('i', 'd', 'n'),16
('vn', 'd', 'v'),16
('n', 'd', 'f'),16
('a', 'f', 'n'),15
('v', 'nr', 'r'),15
('n', 'd', 'c'),15
('a', 'v', 's'),15
('d', 'n', 's'),15
('n', 'a', 'q'),15
('n', 'm', 'ns'),15
('m', 'm', 'nr'),15
('ng', 'f', 'n'),15
('f', 'n', 'ns'),15
('v', 'zg', 'n'),15
('n', 'nz', 'v'),15
('d', 'r', 'n'),15
('m', 'l', 'v'),15
('n', 'l', 't'),15
('s', 'n', 'nr'),15
('n', 'r', 'd'),15
('nr', 'c', 'v'),15
('n', 'vg', 'n'),15
